QuestionID	CyclomaticComplexity
9	1
8	1
7	1
6	1
5	1
4	2
3	1
2	3
1	1
0	1
10	1
15	4
14	1
13	1
12	3
11	3
22	2
21	2
20	1
19	4
18	1
17	1
16	1
32	1
31	2
30	2
29	2
28	2
27	2
26	3
25	2
24	2
23	7
69	1
68	2
67	1
66	4
65	1
64	2
63	1
62	4
61	2
60	1
59	1
58	1
57	2
56	1
55	4
54	2
53	1
52	1
51	1
50	2
49	1
48	4
47	1
46	2
45	1
44	4
43	1
42	1
41	1
40	3
39	1
38	1
37	1
36	1
35	1
34	1
33	1
78	1
77	1
76	1
75	1
74	1
73	1
72	1
71	1
70	1
93	1
92	3
91	2
90	2
89	2
88	3
87	1
86	1
85	1
84	7
83	1
82	3
81	1
80	1
79	1
96	1
95	1
94	1
98	3
97	1
104	1
103	3
102	3
101	1
100	1
99	3
128	1
127	1
126	3
125	4
124	8
123	2
122	1
121	1
120	1
119	1
118	1
117	3
116	1
115	15
114	1
113	1
112	1
111	1
110	1
109	1
108	1
107	1
106	2
105	1
