J1_questionID,J1_difficulty,J2_questionID,J2_difficulty,J3_questionID,J3_difficulty,J4_questionID,J4_difficulty,J5_questionID,J5_difficulty,J6_questionID,J6_difficulty,J7_questionID,J7_difficulty,J8_questionID,J8_difficulty
0,2.4,10,2.7,16,3.5,33,2.75,70,3.45,79,3,97,2.9,105,1.7
1,2.55,12,2.4,17,3.2,34,3.3,71,2.95,80,3.3,98,2.6,106,2.15
2,1.95,11,2.55,18,3.3,35,3.4,72,3.05,81,3.5,99,2.6,107,2.55
3,2.45,13,2.95,19,2.55,36,3.1,73,3.45,82,3.15,100,3.35,108,1.5
4,2.3,14,2.7,20,3.45,37,3.05,74,2.8,83,2.7,101,2.8,109,2.4
5,2.4,15,3.25,21,3.1,38,3.65,75,3.25,84,3.6,102,2.95,110,2.15
6,2.4,,,22,2.8,39,2.9,76,3.7,85,3.15,103,2.4,111,2.1
7,2.95,,,23,3.55,40,3.55,77,3.35,86,3.1,104,3.1,112,2.15
8,2.6,,,24,2.95,41,3.05,78,3.55,87,2.95,,,113,1.6
9,2.55,,,25,3.4,42,3.65,,,88,3.65,,,114,2.8
,,,,26,3.35,43,3.45,,,89,3.4,,,115,2.55
,,,,27,3.4,44,2.95,,,90,3.5,,,116,2.1
,,,,28,3.4,45,2.7,,,91,3.45,,,117,2.35
,,,,29,3.35,46,3.3,,,92,3.25,,,118,2.2
,,,,30,3.45,47,3.75,,,93,3.75,,,119,2.75
,,,,31,3.35,48,3.75,,,94,3.05,,,120,2.25
,,,,32,3.9,49,3.25,,,95,3.2,,,121,2
,,,,,,50,3.4,,,96,2.95,,,122,2.7
,,,,,,51,3.1,,,,,,,123,2.7
,,,,,,52,3.15,,,,,,,124,2.25
,,,,,,53,3,,,,,,,125,2.6
,,,,,,54,2.85,,,,,,,126,2.35
,,,,,,55,3.75,,,,,,,127,2.8
,,,,,,56,3.8,,,,,,,128,2.5
,,,,,,57,3.35,,,,,,,,
,,,,,,58,3.25,,,,,,,,
,,,,,,59,3.65,,,,,,,,
,,,,,,60,3.8,,,,,,,,
,,,,,,61,3.95,,,,,,,,
,,,,,,62,3.6,,,,,,,,
,,,,,,63,3.5,,,,,,,,
,,,,,,64,4.2,,,,,,,,
,,,,,,65,3.65,,,,,,,,
,,,,,,66,3.55,,,,,,,,
,,,,,,67,3.25,,,,,,,,
,,,,,,68,3.3,,,,,,,,
,,,,,,69,3.15,,,,,,,,
