filename,questionID,confidence,difficulty,explanationSize,TP,TN,FN,FP,correct,YES,NO,IDK,YES_ExplanationSize,NO_ExplanationSize,IDK_ExplanationSize
HIT02_24,15,3,4,32,0,0,0,1,0,1,0,0,32,,
HIT02_24,15,5,1,83,0,0,0,1,0,1,0,0,83,,
HIT02_24,15,3,4,144,0,0,0,1,0,1,0,0,144,,
HIT02_24,15,3,4,167,0,0,0,1,0,1,0,0,167,,
HIT02_24,15,5,4,295,0,1,0,0,1,0,1,0,,295,
HIT02_24,15,4,3,42,0,0,0,1,0,1,0,0,42,,
HIT02_24,15,4,4,130,0,0,0,1,0,1,0,0,130,,
HIT02_24,15,3,3,54,0,1,0,0,1,0,1,0,,54,
HIT02_24,15,5,4,545,0,1,0,0,1,0,1,0,,545,
HIT02_24,15,3,4,180,0,0,0,1,0,1,0,0,180,,
HIT02_24,15,4,4,94,0,1,0,0,1,0,1,0,,94,
HIT02_24,15,4,2,128,0,0,0,1,0,1,0,0,128,,
HIT02_24,15,5,5,160,0,0,0,1,0,1,0,0,160,,
HIT02_24,15,5,1,714,0,1,0,0,1,0,1,0,,714,
HIT02_24,15,5,4,122,0,1,0,0,1,0,1,0,,122,
HIT02_24,15,5,2,189,0,0,0,1,0,1,0,0,189,,
HIT02_24,15,2,2,50,0,0,0,1,0,1,0,0,50,,
HIT02_24,15,4,3,258,0,1,0,0,1,0,1,0,,258,
HIT02_24,15,4,5,24,0,1,0,0,1,0,1,0,,24,
HIT02_24,15,4,2,67,0,1,0,0,1,0,1,0,,67,
HIT02_24,13,4,4,35,0,0,0,1,0,1,0,0,35,,
HIT02_24,13,1,5,79,0,0,0,1,0,1,0,0,79,,
HIT02_24,13,0,5,142,0,0,0,0,0,0,0,1,,,142
HIT02_24,13,4,4,202,0,1,0,0,1,0,1,0,,202,
HIT02_24,13,4,2,229,0,1,0,0,1,0,1,0,,229,
HIT02_24,13,3,4,60,0,1,0,0,1,0,1,0,,60,
HIT02_24,13,3,3,57,0,1,0,0,1,0,1,0,,57,
