answerPerWorker,linesToInspect,answerPerWorker_outliers_cut,linesToInspect_outliers_cut,recall,lines_to_inspect,lines_to_inspect_2,workers,answers,"precision,",recall
1.072815534,42,1.072815534,42,0.56,42,42,412,442,0.71,0.56
1.148058252,57,1.148058252,57,0.57,42,42,351,657,0.75,0.57
1.255060729,34,1.255060729,34,0.59,41,41,488,678,0.78,0.59
1.389344262,41,1.389344262,41,0.61,42,42,418,876,0.88,0.61
1.487341772,56,1.487341772,56,0.61,43,43,454,2279,0.81,0.61
1.603092784,51,1.603092784,51,0.63,51,51,133,226,0.94,0.63
1.670995671,58,1.670995671,58,0.63,51,51,194,311,0.94,0.63
1.69924812,51,1.69924812,51,0.64,43,43,497,2580,0.79,0.64
1.871794872,42,1.871794872,42,0.66,57,57,412,473,0.70,0.66
2.09569378,42,2.09569378,42,0.68,58,58,231,386,0.78,0.68
5.019823789,43,,,,,34,494,620,0.77,0.75
5.191146881,43,,,,,56,316,470,0.81,0.76
